,x,y,z,distancepow2,distance,material
82,82,0,0,0,0,-1
83,83,0,0,0,0,-1
84,84,0,0,0,0,-1
85,85,0,0,0,0,-1
86,86,0,0,0,0,-1
87,87,0,0,0,0,-1
88,88,0,0,0,0,-1
89,89,0,0,0,0,-1
90,90,0,0,0,0,-1
91,91,0,0,0,0,-1
92,92,0,0,0,0,-1
93,93,0,0,0,0,-1
94,94,0,0,0,0,-1
95,95,0,0,0,0,-1
96,96,0,0,0,0,-1
97,97,0,0,0,0,-1
98,98,0,0,0,0,-1
99,99,0,0,0,0,-1
100,0,1,0,0,0,-1
101,1,1,0,0,0,-1
102,2,1,0,0,0,-1
103,3,1,0,0,0,-1
104,4,1,0,0,0,-1
105,5,1,0,0,0,-1
106,6,1,0,0,0,-1
107,7,1,0,0,0,-1
108,8,1,0,0,0,-1
109,9,1,0,0,0,-1
110,10,1,0,0,0,-1
111,11,1,0,0,0,-1
112,12,1,0,0,0,-1
113,13,1,0,0,0,-1
114,14,1,0,0,0,-1
115,15,1,0,0,0,-1
116,16,1,0,0,0,-1
117,17,1,0,0,0,-1
118,18,1,0,0,0,-1
119,19,1,0,0,0,-1
120,20,1,0,0,0,-1
121,21,1,0,0,0,-1
122,22,1,0,0,0,-1
123,23,1,0,0,0,-1
124,24,1,0,0,0,-1
125,25,1,0,0,0,-1
126,26,1,0,0,0,-1
127,27,1,0,0,0,-1
128,28,1,0,0,0,-1
129,29,1,0,0,0,-1
130,30,1,0,0,0,-1
131,31,1,0,0,0,-1
132,32,1,0,0,0,-1
133,33,1,0,0,0,-1
134,34,1,0,0,0,-1
135,35,1,0,0,0,-1
136,36,1,0,0,0,-1
137,37,1,0,0,0,-1
138,38,1,0,0,0,-1
139,39,1,0,0,0,-1
140,40,1,0,0,0,-1
141,41,1,0,0,0,-1
142,42,1,0,0,0,-1
143,43,1,0,0,0,-1
144,44,1,0,0,0,-1
145,45,1,0,0,0,-1
146,46,1,0,0,0,-1
147,47,1,0,0,0,-1
148,48,1,0,0,0,-1
149,49,1,0,0,0,-1
150,50,1,0,0,0,-1
151,51,1,0,0,0,-1
152,52,1,0,0,0,-1
153,53,1,0,0,0,-1
154,54,1,0,0,0,-1
155,55,1,0,0,0,-1
156,56,1,0,0,0,-1
157,57,1,0,0,0,-1
158,58,1,0,0,0,-1
159,59,1,0,0,0,-1
160,60,1,0,0,0,-1
161,61,1,0,0,0,-1
162,62,1,0,0,0,-1
163,63,1,0,0,0,-1
164,64,1,0,0,0,-1
165,65,1,0,0,0,-1
166,66,1,0,0,0,-1
167,67,1,0,0,0,-1
168,68,1,0,0,0,-1
169,69,1,0,0,0,-1
170,70,1,0,0,0,-1
171,71,1,0,0,0,-1
172,72,1,0,0,0,-1
173,73,1,0,0,0,-1
174,74,1,0,0,0,-1
175,75,1,0,0,0,-1
176,76,1,0,0,0,-1
177,77,1,0,0,0,-1
178,78,1,0,0,0,-1
179,79,1,0,0,0,-1
180,80,1,0,0,0,-1
181,81,1,0,0,0,-1
182,82,1,0,0,0,-1
183,83,1,0,0,0,-1
184,84,1,0,0,0,-1
185,85,1,0,0,0,-1
186,86,1,0,0,0,-1
187,87,1,0,0,0,-1
188,88,1,0,0,0,-1
189,89,1,0,0,0,-1
190,90,1,0,0,0,-1
191,91,1,0,0,0,-1
192,92,1,0,0,0,-1
193,93,1,0,0,0,-1
194,94,1,0,0,0,-1
195,95,1,0,0,0,-1
196,96,1,0,0,0,-1
197,97,1,0,0,0,-1
198,98,1,0,0,0,-1
199,99,1,0,0,0,-1
200,0,2,0,0,0,-1
201,1,2,0,0,0,-1
202,2,2,0,0,0,-1
203,3,2,0,0,0,-1
204,4,2,0,0,0,-1
205,5,2,0,0,0,-1
206,6,2,0,0,0,-1
207,7,2,0,0,0,-1
208,8,2,0,0,0,-1
209,9,2,0,0,0,-1
210,10,2,0,0,0,-1
211,11,2,0,0,0,-1
212,12,2,0,0,0,-1
213,13,2,0,0,0,-1
214,14,2,0,0,0,-1
215,15,2,0,0,0,-1
216,16,2,0,0,0,-1
217,17,2,0,0,0,-1
218,18,2,0,0,0,-1
219,19,2,0,0,0,-1
220,20,2,0,0,0,-1
221,21,2,0,0,0,-1
222,22,2,0,0,0,-1
223,23,2,0,0,0,-1
224,24,2,0,0,0,-1
225,25,2,0,0,0,-1
226,26,2,0,0,0,-1
227,27,2,0,0,0,-1
228,28,2,0,0,0,-1
229,29,2,0,0,0,-1
230,30,2,0,0,0,-1
231,31,2,0,0,0,-1
232,32,2,0,0,0,-1
233,33,2,0,0,0,-1
234,34,2,0,0,0,-1
235,35,2,0,0,0,-1
236,36,2,0,0,0,-1
237,37,2,0,0,0,-1
238,38,2,0,0,0,-1
239,39,2,0,0,0,-1
240,40,2,0,0,0,-1
241,41,2,0,0,0,-1
242,42,2,0,0,0,-1
243,43,2,0,0,0,-1
244,44,2,0,0,0,-1
245,45,2,0,0,0,-1
246,46,2,0,0,0,-1
247,47,2,0,0,0,-1
248,48,2,0,0,0,-1
249,49,2,0,0,0,-1
250,50,2,0,0,0,-1
251,51,2,0,0,0,-1
252,52,2,0,0,0,-1
253,53,2,0,0,0,-1
254,54,2,0,0,0,-1
255,55,2,0,0,0,-1
256,56,2,0,0,0,-1
257,57,2,0,0,0,-1
258,58,2,0,0,0,-1
259,59,2,0,0,0,-1
260,60,2,0,0,0,-1
261,61,2,0,0,0,-1
262,62,2,0,0,0,-1
263,63,2,0,0,0,-1
264,64,2,0,0,0,-1
265,65,2,0,0,0,-1
266,66,2,0,0,0,-1
267,67,2,0,0,0,-1
268,68,2,0,0,0,-1
269,69,2,0,0,0,-1
270,70,2,0,0,0,-1
271,71,2,0,0,0,-1
272,72,2,0,0,0,-1
273,73,2,0,0,0,-1
274,74,2,0,0,0,-1
275,75,2,0,0,0,-1
276,76,2,0,0,0,-1
277,77,2,0,0,0,-1
278,78,2,0,0,0,-1
279,79,2,0,0,0,-1
280,80,2,0,0,0,-1
281,81,2,0,0,0,-1
282,82,2,0,0,0,-1
283,83,2,0,0,0,-1
284,84,2,0,0,0,-1
285,85,2,0,0,0,-1
286,86,2,0,0,0,-1
287,87,2,0,0,0,-1
288,88,2,0,0,0,-1
289,89,2,0,0,0,-1
290,90,2,0,0,0,-1
291,91,2,0,0,0,-1
292,92,2,0,0,0,-1
293,93,2,0,0,0,-1
294,94,2,0,0,0,-1
295,95,2,0,0,0,-1
296,96,2,0,0,0,-1
297,97,2,0,0,0,-1
298,98,2,0,0,0,-1
299,99,2,0,0,0,-1
300,0,3,0,0,0,-1
301,1,3,0,0,0,-1
302,2,3,0,0,0,-1
303,3,3,0,0,0,-1
304,4,3,0,0,0,-1
305,5,3,0,0,0,-1
306,6,3,0,0,0,-1
307,7,3,0,0,0,-1
308,8,3,0,0,0,-1
309,9,3,0,0,0,-1
310,10,3,0,0,0,-1
311,11,3,0,0,0,-1
312,12,3,0,0,0,-1
313,13,3,0,0,0,-1
314,14,3,0,0,0,-1
315,15,3,0,0,0,-1
316,16,3,0,0,0,-1
317,17,3,0,0,0,-1
318,18,3,0,0,0,-1
319,19,3,0,0,0,-1
320,20,3,0,0,0,-1
321,21,3,0,0,0,-1
322,22,3,0,0,0,-1
323,23,3,0,0,0,-1
324,24,3,0,0,0,-1
325,25,3,0,0,0,-1
326,26,3,0,0,0,-1
327,27,3,0,0,0,-1
328,28,3,0,0,0,-1
329,29,3,0,0,0,-1
330,30,3,0,0,0,-1
331,31,3,0,0,0,-1
332,32,3,0,0,0,-1
333,33,3,0,0,0,-1
334,34,3,0,0,0,-1
335,35,3,0,0,0,-1
336,36,3,0,0,0,-1
337,37,3,0,0,0,-1
338,38,3,0,0,0,-1
339,39,3,0,0,0,-1
340,40,3,0,0,0,-1
341,41,3,0,0,0,-1
342,42,3,0,0,0,-1
343,43,3,0,0,0,-1
344,44,3,0,0,0,-1
345,45,3,0,0,0,-1
346,46,3,0,0,0,-1
347,47,3,0,0,0,-1
348,48,3,0,0,0,-1
349,49,3,0,0,0,-1
350,50,3,0,0,0,-1
351,51,3,0,0,0,-1
352,52,3,0,0,0,-1
353,53,3,0,0,0,-1
354,54,3,0,0,0,-1
355,55,3,0,0,0,-1
356,56,3,0,0,0,-1
357,57,3,0,0,0,-1
358,58,3,0,0,0,-1
359,59,3,0,0,0,-1
360,60,3,0,0,0,-1
361,61,3,0,0,0,-1
362,62,3,0,0,0,-1
363,63,3,0,0,0,-1
364,64,3,0,0,0,-1
365,65,3,0,0,0,-1
366,66,3,0,0,0,-1
367,67,3,0,0,0,-1
368,68,3,0,0,0,-1
369,69,3,0,0,0,-1
370,70,3,0,0,0,-1
371,71,3,0,0,0,-1
372,72,3,0,0,0,-1
373,73,3,0,0,0,-1
374,74,3,0,0,0,-1
375,75,3,0,0,0,-1
376,76,3,0,0,0,-1
377,77,3,0,0,0,-1
378,78,3,0,0,0,-1
379,79,3,0,0,0,-1
380,80,3,0,0,0,-1
381,81,3,0,0,0,-1
382,82,3,0,0,0,-1
383,83,3,0,0,0,-1
384,84,3,0,0,0,-1
385,85,3,0,0,0,-1
386,86,3,0,0,0,-1
387,87,3,0,0,0,-1
388,88,3,0,0,0,-1
389,89,3,0,0,0,-1
390,90,3,0,0,0,-1
391,91,3,0,0,0,-1
392,92,3,0,0,0,-1
393,93,3,0,0,0,-1
394,94,3,0,0,0,-1
395,95,3,0,0,0,-1
396,96,3,0,0,0,-1
397,97,3,0,0,0,-1
398,98,3,0,0,0,-1
399,99,3,0,0,0,-1
400,0,4,0,0,0,-1
401,1,4,0,0,0,-1
402,2,4,0,0,0,-1
403,3,4,0,0,0,-1
404,4,4,0,0,0,-1
405,5,4,0,0,0,-1
406,6,4,0,0,0,-1
407,7,4,0,0,0,-1
408,8,4,0,0,0,-1
409,9,4,0,0,0,-1
410,10,4,0,0,0,-1
411,11,4,0,0,0,-1
412,12,4,0,0,0,-1
413,13,4,0,0,0,-1
414,14,4,0,0,0,-1
415,15,4,0,0,0,-1
416,16,4,0,0,0,-1
417,17,4,0,0,0,-1
418,18,4,0,0,0,-1
419,19,4,0,0,0,-1
420,20,4,0,0,0,-1
421,21,4,0,0,0,-1
422,22,4,0,0,0,-1
423,23,4,0,0,0,-1
424,24,4,0,0,0,-1
425,25,4,0,0,0,-1
426,26,4,0,0,0,-1
427,27,4,0,0,0,-1
428,28,4,0,0,0,-1
429,29,4,0,0,0,-1
430,30,4,0,0,0,-1
431,31,4,0,0,0,-1
432,32,4,0,0,0,-1
433,33,4,0,0,0,-1
434,34,4,0,0,0,-1
435,35,4,0,0,0,-1
436,36,4,0,0,0,-1
437,37,4,0,0,0,-1
438,38,4,0,0,0,-1
439,39,4,0,0,0,-1
440,40,4,0,0,0,-1
441,41,4,0,0,0,-1
442,42,4,0,0,0,-1
443,43,4,0,0,0,-1
444,44,4,0,0,0,-1
445,45,4,0,0,0,-1
446,46,4,0,0,0,-1
447,47,4,0,0,0,-1
448,48,4,0,0,0,-1
449,49,4,0,0,0,-1
450,50,4,0,0,0,-1
451,51,4,0,0,0,-1
452,52,4,0,0,0,-1
453,53,4,0,0,0,-1
454,54,4,0,0,0,-1
455,55,4,0,0,0,-1
456,56,4,0,0,0,-1
457,57,4,0,0,0,-1
458,58,4,0,0,0,-1
459,59,4,0,0,0,-1
460,60,4,0,0,0,-1
461,61,4,0,0,0,-1
462,62,4,0,0,0,-1
463,63,4,0,0,0,-1
464,64,4,0,0,0,-1
465,65,4,0,0,0,-1
466,66,4,0,0,0,-1
467,67,4,0,0,0,-1
468,68,4,0,0,0,-1
469,69,4,0,0,0,-1
470,70,4,0,0,0,-1
471,71,4,0,0,0,-1
472,72,4,0,0,0,-1
473,73,4,0,0,0,-1
474,74,4,0,0,0,-1
475,75,4,0,0,0,-1
476,76,4,0,0,0,-1
477,77,4,0,0,0,-1
478,78,4,0,0,0,-1
479,79,4,0,0,0,-1
480,80,4,0,0,0,-1
481,81,4,0,0,0,-1
482,82,4,0,0,0,-1
483,83,4,0,0,0,-1
484,84,4,0,0,0,-1
485,85,4,0,0,0,-1
486,86,4,0,0,0,-1
487,87,4,0,0,0,-1
488,88,4,0,0,0,-1
489,89,4,0,0,0,-1
490,90,4,0,0,0,-1
491,91,4,0,0,0,-1
492,92,4,0,0,0,-1
493,93,4,0,0,0,-1
494,94,4,0,0,0,-1
495,95,4,0,0,0,-1
496,96,4,0,0,0,-1
497,97,4,0,0,0,-1
498,98,4,0,0,0,-1
499,99,4,0,0,0,-1
500,0,5,0,0,0,-1
501,1,5,0,0,0,-1
502,2,5,0,0,0,-1
503,3,5,0,0,0,-1
504,4,5,0,0,0,-1
505,5,5,0,0,0,-1
506,6,5,0,0,0,-1
507,7,5,0,0,0,-1
508,8,5,0,0,0,-1
509,9,5,0,0,0,-1
510,10,5,0,0,0,-1
511,11,5,0,0,0,-1
512,12,5,0,0,0,-1
513,13,5,0,0,0,-1
514,14,5,0,0,0,-1
515,15,5,0,0,0,-1
516,16,5,0,0,0,-1
517,17,5,0,0,0,-1
518,18,5,0,0,0,-1
519,19,5,0,0,0,-1
520,20,5,0,0,0,-1
521,21,5,0,0,0,-1
522,22,5,0,0,0,-1
523,23,5,0,0,0,-1
524,24,5,0,0,0,-1
525,25,5,0,0,0,-1
526,26,5,0,0,0,-1
527,27,5,0,0,0,-1
528,28,5,0,0,0,-1
529,29,5,0,0,0,-1
530,30,5,0,0,0,-1
531,31,5,0,0,0,-1
532,32,5,0,0,0,-1
533,33,5,0,0,0,-1
534,34,5,0,0,0,-1
535,35,5,0,0,0,-1
536,36,5,0,0,0,-1
537,37,5,0,0,0,-1
538,38,5,0,0,0,-1
539,39,5,0,0,0,-1
540,40,5,0,0,0,-1
541,41,5,0,0,0,-1
542,42,5,0,0,0,-1
543,43,5,0,0,0,-1
544,44,5,0,0,0,-1
545,45,5,0,0,0,-1
546,46,5,0,0,0,-1
547,47,5,0,0,0,-1
548,48,5,0,0,0,-1
549,49,5,0,0,0,-1
550,50,5,0,0,0,-1
551,51,5,0,0,0,-1
552,52,5,0,0,0,-1
553,53,5,0,0,0,-1
554,54,5,0,0,0,-1
555,55,5,0,0,0,-1
556,56,5,0,0,0,-1
557,57,5,0,0,0,-1
558,58,5,0,0,0,-1
559,59,5,0,0,0,-1
560,60,5,0,0,0,-1
561,61,5,0,0,0,-1
562,62,5,0,0,0,-1
563,63,5,0,0,0,-1
564,64,5,0,0,0,-1
565,65,5,0,0,0,-1
566,66,5,0,0,0,-1
567,67,5,0,0,0,-1
568,68,5,0,0,0,-1
569,69,5,0,0,0,-1
570,70,5,0,0,0,-1
571,71,5,0,0,0,-1
572,72,5,0,0,0,-1
573,73,5,0,0,0,-1
574,74,5,0,0,0,-1
575,75,5,0,0,0,-1
576,76,5,0,0,0,-1
577,77,5,0,0,0,-1
578,78,5,0,0,0,-1
579,79,5,0,0,0,-1
580,80,5,0,0,0,-1
581,81,5,0,0,0,-1
582,82,5,0,0,0,-1
583,83,5,0,0,0,-1
584,84,5,0,0,0,-1
585,85,5,0,0,0,-1
586,86,5,0,0,0,-1
587,87,5,0,0,0,-1
588,88,5,0,0,0,-1
589,89,5,0,0,0,-1
590,90,5,0,0,0,-1
591,91,5,0,0,0,-1
592,92,5,0,0,0,-1
593,93,5,0,0,0,-1
594,94,5,0,0,0,-1
595,95,5,0,0,0,-1
596,96,5,0,0,0,-1
597,97,5,0,0,0,-1
598,98,5,0,0,0,-1
599,99,5,0,0,0,-1
600,0,6,0,0,0,-1
601,1,6,0,0,0,-1
602,2,6,0,0,0,-1
603,3,6,0,0,0,-1
604,4,6,0,0,0,-1
605,5,6,0,0,0,-1
606,6,6,0,0,0,-1
607,7,6,0,0,0,-1
608,8,6,0,0,0,-1
609,9,6,0,0,0,-1
610,10,6,0,0,0,-1
611,11,6,0,0,0,-1
612,12,6,0,0,0,-1
613,13,6,0,0,0,-1
614,14,6,0,0,0,-1
615,15,6,0,0,0,-1
616,16,6,0,0,0,-1
617,17,6,0,0,0,-1
618,18,6,0,0,0,-1
619,19,6,0,0,0,-1
620,20,6,0,0,0,-1
621,21,6,0,0,0,-1
622,22,6,0,0,0,-1
623,23,6,0,0,0,-1
624,24,6,0,0,0,-1
625,25,6,0,0,0,-1
626,26,6,0,0,0,-1
627,27,6,0,0,0,-1
628,28,6,0,0,0,-1
629,29,6,0,0,0,-1
630,30,6,0,0,0,-1
631,31,6,0,0,0,-1
632,32,6,0,0,0,-1
633,33,6,0,0,0,-1
634,34,6,0,0,0,-1
635,35,6,0,0,0,-1
636,36,6,0,0,0,-1
637,37,6,0,0,0,-1
638,38,6,0,0,0,-1
639,39,6,0,0,0,-1
640,40,6,0,0,0,-1
641,41,6,0,0,0,-1
642,42,6,0,0,0,-1
643,43,6,0,0,0,-1
644,44,6,0,0,0,-1
645,45,6,0,0,0,-1
646,46,6,0,0,0,-1
647,47,6,0,0,0,-1
648,48,6,0,0,0,-1
649,49,6,0,0,0,-1
650,50,6,0,0,0,-1
651,51,6,0,0,0,-1
652,52,6,0,0,0,-1
653,53,6,0,0,0,-1
654,54,6,0,0,0,-1
655,55,6,0,0,0,-1
656,56,6,0,0,0,-1
657,57,6,0,0,0,-1
658,58,6,0,0,0,-1
659,59,6,0,0,0,-1
660,60,6,0,0,0,-1
661,61,6,0,0,0,-1
662,62,6,0,0,0,-1
663,63,6,0,0,0,-1
664,64,6,0,0,0,-1
665,65,6,0,0,0,-1
666,66,6,0,0,0,-1
667,67,6,0,0,0,-1
668,68,6,0,0,0,-1
669,69,6,0,0,0,-1
670,70,6,0,0,0,-1
671,71,6,0,0,0,-1
672,72,6,0,0,0,-1
673,73,6,0,0,0,-1
674,74,6,0,0,0,-1
675,75,6,0,0,0,-1
676,76,6,0,0,0,-1
677,77,6,0,0,0,-1
678,78,6,0,0,0,-1
679,79,6,0,0,0,-1
680,80,6,0,0,0,-1
681,81,6,0,0,0,-1
682,82,6,0,0,0,-1
683,83,6,0,0,0,-1
684,84,6,0,0,0,-1
685,85,6,0,0,0,-1
686,86,6,0,0,0,-1
687,87,6,0,0,0,-1
688,88,6,0,0,0,-1
689,89,6,0,0,0,-1
690,90,6,0,0,0,-1
691,91,6,0,0,0,-1
692,92,6,0,0,0,-1
693,93,6,0,0,0,-1
694,94,6,0,0,0,-1
695,95,6,0,0,0,-1
696,96,6,0,0,0,-1
697,97,6,0,0,0,-1
698,98,6,0,0,0,-1
699,99,6,0,0,0,-1
700,0,7,0,0,0,-1
701,1,7,0,0,0,-1
702,2,7,0,0,0,-1
703,3,7,0,0,0,-1
704,4,7,0,0,0,-1
705,5,7,0,0,0,-1
706,6,7,0,0,0,-1
707,7,7,0,0,0,-1
708,8,7,0,0,0,-1
709,9,7,0,0,0,-1
710,10,7,0,0,0,-1
711,11,7,0,0,0,-1
712,12,7,0,0,0,-1
713,13,7,0,0,0,-1
714,14,7,0,0,0,-1
715,15,7,0,0,0,-1
716,16,7,0,0,0,-1
717,17,7,0,0,0,-1
718,18,7,0,0,0,-1
719,19,7,0,0,0,-1
720,20,7,0,0,0,-1
721,21,7,0,0,0,-1
722,22,7,0,0,0,-1
723,23,7,0,0,0,-1
724,24,7,0,0,0,-1
725,25,7,0,0,0,-1
726,26,7,0,0,0,-1
727,27,7,0,0,0,-1
728,28,7,0,0,0,-1
729,29,7,0,0,0,-1
730,30,7,0,0,0,-1
731,31,7,0,0,0,-1
732,32,7,0,0,0,-1
733,33,7,0,0,0,-1
734,34,7,0,0,0,-1
735,35,7,0,0,0,-1
736,36,7,0,0,0,-1
737,37,7,0,0,0,-1
738,38,7,0,0,0,-1
739,39,7,0,0,0,-1
740,40,7,0,0,0,-1
741,41,7,0,0,0,-1
742,42,7,0,0,0,-1
743,43,7,0,0,0,-1
744,44,7,0,0,0,-1
745,45,7,0,0,0,-1
746,46,7,0,0,0,-1
747,47,7,0,0,0,-1
748,48,7,0,0,0,-1
749,49,7,0,0,0,-1
750,50,7,0,0,0,-1
751,51,7,0,0,0,-1
752,52,7,0,0,0,-1
753,53,7,0,0,0,-1
754,54,7,0,0,0,-1
755,55,7,0,0,0,-1
756,56,7,0,0,0,-1
757,57,7,0,0,0,-1
758,58,7,0,0,0,-1
759,59,7,0,0,0,-1
760,60,7,0,0,0,-1
761,61,7,0,0,0,-1
762,62,7,0,0,0,-1
763,63,7,0,0,0,-1
764,64,7,0,0,0,-1
765,65,7,0,0,0,-1
766,66,7,0,0,0,-1
767,67,7,0,0,0,-1
768,68,7,0,0,0,-1
769,69,7,0,0,0,-1
770,70,7,0,0,0,-1
771,71,7,0,0,0,-1
772,72,7,0,0,0,-1
773,73,7,0,0,0,-1
774,74,7,0,0,0,-1
775,75,7,0,0,0,-1
776,76,7,0,0,0,-1
777,77,7,0,0,0,-1
778,78,7,0,0,0,-1
779,79,7,0,0,0,-1
780,80,7,0,0,0,-1
781,81,7,0,0,0,-1
782,82,7,0,0,0,-1
783,83,7,0,0,0,-1
784,84,7,0,0,0,-1
785,85,7,0,0,0,-1
786,86,7,0,0,0,-1
787,87,7,0,0,0,-1
788,88,7,0,0,0,-1
789,89,7,0,0,0,-1
790,90,7,0,0,0,-1
791,91,7,0,0,0,-1
792,92,7,0,0,0,-1
793,93,7,0,0,0,-1
794,94,7,0,0,0,-1
795,95,7,0,0,0,-1
796,96,7,0,0,0,-1
797,97,7,0,0,0,-1
798,98,7,0,0,0,-1
799,99,7,0,0,0,-1
800,0,8,0,0,0,-1
801,1,8,0,0,0,-1
802,2,8,0,0,0,-1
803,3,8,0,0,0,-1
804,4,8,0,0,0,-1
805,5,8,0,0,0,-1
806,6,8,0,0,0,-1
807,7,8,0,0,0,-1
808,8,8,0,0,0,-1
809,9,8,0,0,0,-1
810,10,8,0,0,0,-1
811,11,8,0,0,0,-1
812,12,8,0,0,0,-1
813,13,8,0,0,0,-1
814,14,8,0,0,0,-1
815,15,8,0,0,0,-1
816,16,8,0,0,0,-1
817,17,8,0,0,0,-1
818,18,8,0,0,0,-1
819,19,8,0,0,0,-1
820,20,8,0,0,0,-1
821,21,8,0,0,0,-1
822,22,8,0,0,0,-1
823,23,8,0,0,0,-1
824,24,8,0,0,0,-1
825,25,8,0,0,0,-1
826,26,8,0,0,0,-1
827,27,8,0,0,0,-1
828,28,8,0,0,0,-1
829,29,8,0,0,0,-1
830,30,8,0,0,0,-1
831,31,8,0,0,0,-1
832,32,8,0,0,0,-1
833,33,8,0,0,0,-1
834,34,8,0,0,0,-1
835,35,8,0,0,0,-1
836,36,8,0,0,0,-1
837,37,8,0,0,0,-1
838,38,8,0,0,0,-1
839,39,8,0,0,0,-1
840,40,8,0,0,0,-1
841,41,8,0,0,0,-1
842,42,8,0,0,0,-1
843,43,8,0,0,0,-1
844,44,8,0,0,0,-1
845,45,8,0,0,0,-1
846,46,8,0,0,0,-1
847,47,8,0,0,0,-1
848,48,8,0,0,0,-1
849,49,8,0,0,0,-1
850,50,8,0,0,0,-1
851,51,8,0,0,0,-1
852,52,8,0,0,0,-1
853,53,8,0,0,0,-1
854,54,8,0,0,0,-1
855,55,8,0,0,0,-1
856,56,8,0,0,0,-1
857,57,8,0,0,0,-1
858,58,8,0,0,0,-1
859,59,8,0,0,0,-1
860,60,8,0,0,0,-1
861,61,8,0,0,0,-1
862,62,8,0,0,0,-1
863,63,8,0,0,0,-1
864,64,8,0,0,0,-1
865,65,8,0,0,0,-1
866,66,8,0,0,0,-1
867,67,8,0,0,0,-1
868,68,8,0,0,0,-1
869,69,8,0,0,0,-1
870,70,8,0,0,0,-1
871,71,8,0,0,0,-1
872,72,8,0,0,0,-1
873,73,8,0,0,0,-1
874,74,8,0,0,0,-1
875,75,8,0,0,0,-1
876,76,8,0,0,0,-1
877,77,8,0,0,0,-1
878,78,8,0,0,0,-1
879,79,8,0,0,0,-1
880,80,8,0,0,0,-1
881,81,8,0,0,0,-1
882,82,8,0,0,0,-1
883,83,8,0,0,0,-1
884,84,8,0,0,0,-1
885,85,8,0,0,0,-1
886,86,8,0,0,0,-1
887,87,8,0,0,0,-1
888,88,8,0,0,0,-1
889,89,8,0,0,0,-1
890,90,8,0,0,0,-1
891,91,8,0,0,0,-1
892,92,8,0,0,0,-1
893,93,8,0,0,0,-1
894,94,8,0,0,0,-1
895,95,8,0,0,0,-1
896,96,8,0,0,0,-1
897,97,8,0,0,0,-1
898,98,8,0,0,0,-1
899,99,8,0,0,0,-1
900,0,9,0,0,0,-1
901,1,9,0,0,0,-1
902,2,9,0,0,0,-1
903,3,9,0,0,0,-1
904,4,9,0,0,0,-1
905,5,9,0,0,0,-1
906,6,9,0,0,0,-1
907,7,9,0,0,0,-1
908,8,9,0,0,0,-1
909,9,9,0,0,0,-1
910,10,9,0,0,0,-1
911,11,9,0,0,0,-1
912,12,9,0,0,0,-1
913,13,9,0,0,0,-1
914,14,9,0,0,0,-1
915,15,9,0,0,0,-1
916,16,9,0,0,0,-1
917,17,9,0,0,0,-1
918,18,9,0,0,0,-1
919,19,9,0,0,0,-1
920,20,9,0,0,0,-1
921,21,9,0,0,0,-1
922,22,9,0,0,0,-1
923,23,9,0,0,0,-1
924,24,9,0,0,0,-1
925,25,9,0,0,0,-1
926,26,9,0,0,0,-1
927,27,9,0,0,0,-1
928,28,9,0,0,0,-1
929,29,9,0,0,0,-1
